MONTH,TEMP,TDEW,TMAX,TMIN,WND,PRCP_25,PRCP,WETD,SUNH
1,-1.1315,-11.7279,3.1781,-5.5913,1.5732,0.254,1.27,1.1702,4.535023
2,2.6579,-9.5869,7.4439,-2.5347,1.7761,0,6.604,1.766,4.887374
3,9.7368,-5.0961,14.7384,3.6093,2.0204,0.508,4.064,2.2609,6.884562
4,16.4648,3.4299,21.5582,9.9506,2.1864,11.557,24.892,3.3913,7.609762
5,22.6476,10.0171,27.6807,16.2785,2.1049,22.7965,31.242,4.8478,7.961751
6,26.7691,15.3044,31.9479,20.8761,1.8242,36.449,45.72,7.0217,7.392857
7,28.0589,20.748,32.3056,23.4036,1.654,79.1845,114.046,9.9348,5.995622
8,26.411,20.2545,30.5274,22.0751,1.5152,61.595,103.886,10.0435,6.139171
9,21.8465,14.4499,26.4177,16.9713,1.4604,35.433,80.899,6.2174,5.872857
10,15.3384,6.3772,20.2535,9.9095,1.4359,9.398,19.431,4.3478,5.80576
11,6.7971,-2.3183,11.5237,1.7814,1.4561,0,6.35,3.087,5.59881
12,0.7085,-9.8793,4.9659,-3.5323,1.5864,0,2.032,1.3261,4.388249
