MONTH,TEMP,TDEW,TMAX,TMIN,WND,PRCP_25,PRCP,WETD,SUNH
1,-2.9308,-12.5803,1.9505,-7.8555,2.535,0,0.762,0.7872,4.535023
2,0.5573,-9.8954,5.9011,-5.2497,2.7149,0.762,5.588,1.3404,4.887374
3,7.6988,-5.1402,13.1486,1.5427,3.3026,0.381,3.302,2,6.884562
4,15.3397,1.8231,21.0226,8.6489,3.5483,4.318,16.256,3.1739,7.609762
5,21.7148,8.9748,27.3322,15.0819,3.2808,9.5885,37.592,4.7174,7.961751
6,25.5636,16.1658,30.6277,19.8465,2.7239,47.8155,90.17,7.2391,7.392857
7,27.5645,21.3324,31.7864,22.9899,2.3743,138.3665,159.004,10.2391,5.995622
8,26.4296,20.4852,30.7328,21.9377,2.1341,80.4545,108.331,9.3043,6.139171
9,21.7175,14.1992,26.7213,16.3956,2.2122,24.1935,43.688,5.8696,5.872857
10,14.3595,5.7293,19.7055,8.6989,2.3612,17.018,26.797,4.0435,5.80576
11,5.5326,-3.236,10.527,0.441,2.3402,0,9.906,2.413,5.59881
12,-1.1255,-10.3336,3.5358,-5.7157,2.4709,0.6985,1.778,1.2391,4.388249
