MONTH,TMAX,TMIN,HUM,WND,SUNH,WETD,PRCP
1,3,-7.6,57.5,2.2997685185,4.99,1.817362,4.49182
2,8.1,-3.8,56.8,2.7002314815,5.55,2.526576,8.63286
3,12.8,1.1,57.1,3.400462963,5.59,3.572881,16.281831
4,22.4,8.6,54.5,3.7002314815,6.2,4.270073,24.09292
5,27.7,13.9,51.6,3.400462963,7.58,5.487691,44.991648
6,32.2,19.7,52.4,3,8.03,7.721675,70.363005
7,32.7,22.6,73.5,2.2002314815,6.83,11.883333,168.072405
8,30.1,21.5,78.4,1.7997685185,6.32,8.888367,128.287908
9,27.3,15.7,71.3,2,6.35,6.355932,54.253293
10,21,8.1,69,2.099537037,6.18,6.113689,41.818065
11,12.2,0.6,69,2.2002314815,5.19,3.705036,15.760791
12,6,-4.9,63.6,2.2002314815,5.06,2.288351,7.165612
