MONTH,TEMP,TDEW,TMAX,TMIN,WND,PRCP_25,PRCP,WETD,SUNH
1,-2.3616,-11.4331,2.6084,-7.2276,1.8076,0,0.508,0.7273,4.535023
2,1.4497,-8.8023,6.7167,-4.0863,2.2871,1.016,7.62,1.9091,4.887374
3,8.3522,-4.2929,13.9697,1.9474,2.7418,0.9525,4.318,1.5238,6.884562
4,15.2129,3.4475,20.9842,8.5727,2.9073,7.493,16.891,4.2381,7.609762
5,21.5374,10.4327,27.114,14.8749,2.6371,16.256,35.814,4.381,7.961751
6,25.99,15.8935,31.4781,19.9275,2.4206,37.9095,80.391,6.9048,7.392857
7,27.5733,21.607,32.0461,22.8909,2.0553,122.174,176.149,8.8571,5.995622
8,26.0499,21.0713,30.3336,21.6282,1.8259,61.595,152.781,8.4286,6.139171
9,21.5774,14.746,26.6947,16.382,1.854,24.257,41.275,5,5.872857
10,14.8159,6.5643,20.3178,9.1377,2.0211,18.161,27.432,4.1905,5.80576
11,6.1037,-1.6901,11.2903,1.0183,1.9053,0.1905,12.192,2.8095,5.59881
12,-0.6056,-9.0892,4.1909,-5.1795,1.785,0.254,1.143,1.0455,4.388249
