MONTH,TEMP,TDEW,TMAX,TMIN,WND,PRCP_25,PRCP,WETD,SUNH
1,-1.9614,-9.7472,3.147,-7.5018,2.2395,0,0.508,0.625,4.535023
2,1.7365,-7.0722,7.1928,-4.5346,2.8073,1.778,7.62,2.125,4.887374
3,8.4017,-2.0152,14.0576,1.6719,3.3919,0,5.588,1.7826,6.884562
4,14.7027,5.9297,20.3549,7.6013,3.2718,11.176,20.701,4.5417,7.609762
5,20.8349,12.7718,26.3513,13.6987,2.8398,21.2725,48.895,5.5417,7.961751
6,25.8891,16.6569,31.5958,19.1859,2.7001,44.45,71.12,6.2917,7.392857
7,27.4395,22.264,31.9417,22.4674,2.2518,78.359,105.918,9.1667,5.995622
8,25.7955,21.7646,30.2025,21.0048,1.9504,74.422,113.03,8.2917,6.139171
9,21.2399,15.5898,26.7403,15.2141,1.9394,19.4945,45.593,5.125,5.872857
10,15.0291,7.5897,20.7875,8.619,2.2385,9.4615,18.796,3.7917,5.80576
11,6.476,-0.2349,11.7784,0.7863,2.3186,3.2385,13.208,3,5.59881
12,-0.1748,-7.4917,4.7408,-5.2594,2.2063,0.6985,2.286,1.1667,4.388249
