DATE,TMAX,TMIN,WND,HUM,PRCP
1997-01-01,1.722222,-6.777778,3.549667,39.821110,0.254000
1997-01-02,5.111111,-7.000000,3.858333,49.590918,0.000000
1997-01-03,4.888889,-7.777778,2.006333,63.147517,0.000000
1997-01-04,-0.277778,-9.777778,3.704000,73.661918,0.000000
1997-01-05,-0.722222,-12.611111,1.697667,47.626355,0.000000
1997-01-06,0.277778,-12.611111,1.852000,43.782369,0.000000
1997-01-07,-1.611111,-12.388889,2.417889,58.478684,0.000000
1997-01-08,-1.722222,-14.111111,2.160667,58.237064,0.000000
1997-01-09,3.500000,-7.888889,2.829444,57.846041,0.000000
1997-01-10,0.611111,-9.500000,2.983778,65.835841,0.000000
1997-01-11,4.888889,-11.111111,2.417889,58.009077,0.000000
1997-01-12,8.777778,-5.111111,4.012667,64.725219,0.000000
1997-01-13,3.277778,-7.222222,5.298778,40.723142,0.000000
1997-01-14,2.611111,-10.000000,2.572222,30.515929,0.000000
1997-01-15,3.611111,-6.000000,2.983778,52.155941,0.000000
1997-01-16,7.277778,-6.888889,2.983778,68.445598,0.000000
1997-01-17,3.000000,-9.777778,2.983778,52.257846,0.000000
1997-01-18,6.500000,-10.777778,4.115556,46.840055,0.000000
1997-01-19,9.611111,-3.500000,2.417889,67.777135,0.000000
1997-01-20,2.111111,-5.500000,4.269889,73.443953,0.000000
1997-01-21,2.000000,-8.222222,2.829444,58.962745,0.000000
1997-01-22,1.000000,-9.500000,3.446778,56.250978,0.000000
1997-01-23,2.277778,-9.777778,2.417889,48.752346,0.000000
1997-01-24,4.777778,-11.277778,2.417889,53.276364,0.000000
1997-01-25,8.000000,-7.000000,3.446778,56.842980,0.000000
1997-01-26,10.388889,-9.111111,2.572222,43.978602,0.000000
1997-01-27,11.000000,-5.388889,2.263556,32.821995,0.000000
1997-01-28,10.388889,-7.388889,2.160667,37.148319,0.000000
1997-01-29,9.500000,-7.111111,3.806889,36.474246,0.000000
1997-01-30,9.111111,-2.222222,2.983778,55.560630,0.000000
1997-01-31,2.777778,-1.000000,2.212111,90.403888,0.000000
1997-02-01,5.277778,-1.611111,1.852000,44.474095,0.000000
1997-02-02,2.111111,-5.611111,3.704000,56.617818,0.000000
1997-02-03,5.222222,-8.722222,1.131778,49.487601,0.000000
1997-02-04,5.611111,-5.611111,3.858333,51.329371,0.000000
1997-02-05,6.777778,-6.000000,2.726556,48.922915,0.000000
1997-02-06,5.222222,-8.000000,2.572222,51.907806,0.000000
1997-02-07,8.277778,-4.888889,3.292444,65.125559,0.000000
1997-02-08,10.111111,-2.777778,4.115556,61.659031,0.000000
1997-02-09,10.111111,-2.277778,2.983778,55.898214,0.000000
1997-02-10,4.722222,-7.277778,4.732889,34.959783,0.000000
1997-02-11,7.888889,-8.888889,2.006333,30.135126,0.000000
1997-02-12,9.777778,-7.277778,2.829444,41.160822,0.000000
1997-02-13,11.111111,-5.611111,2.263556,45.516460,0.000000
