DATE,TMAX,TMIN,WND,HUM,PRCP
1973-01-01,4.000000,-8.000000,2.726556,36.869371,0.000000
1973-01-02,0.000000,-11.000000,2.263556,42.260770,0.000000
1973-01-03,7.000000,-11.000000,2.315000,36.706224,0.000000
1973-01-04,4.000000,-9.000000,3.138111,53.527483,0.000000
1973-01-05,1.000000,-10.000000,2.315000,50.047026,0.000000
1973-01-06,6.000000,-6.000000,1.286111,80.567524,NaN
1973-01-07,1.000000,-6.000000,2.263556,91.664426,0.000000
1973-01-08,0.000000,-5.000000,4.424222,92.134592,0.000000
1973-01-09,2.000000,-4.000000,2.983778,92.117168,NaN
1973-01-10,2.000000,-8.000000,2.829444,78.019713,0.000000
1973-01-11,2.000000,-9.000000,2.417889,68.569393,0.000000
1973-01-12,2.000000,-5.000000,2.880889,73.622375,NaN
1973-01-13,3.000000,-3.000000,2.829444,65.378601,0.000000
1973-01-14,3.000000,-5.000000,1.131778,74.427996,0.000000
1973-01-15,4.000000,-3.000000,1.286111,67.804878,0.000000
1973-01-16,7.000000,-3.000000,2.263556,71.777091,0.000000
1973-01-17,7.000000,-3.000000,1.337556,80.423499,0.000000
1973-01-18,8.000000,-5.000000,3.189556,83.324604,0.000000
1973-01-20,2.000000,-2.000000,1.646222,91.839242,NaN
1973-01-21,3.000000,-3.000000,3.858333,84.432758,NaN
1973-01-22,1.000000,0.000000,5.144444,98.801079,1.016000
1973-01-23,2.000000,-1.000000,5.556000,96.051244,13.970000
1973-01-24,4.000000,-3.000000,3.704000,87.462340,4.064000
1973-01-25,3.000000,-4.000000,2.315000,84.154875,0.000000
1973-01-26,2.000000,-5.000000,2.263556,95.563491,NaN
1973-01-27,0.000000,-5.000000,2.315000,86.076384,0.000000
1973-01-28,3.000000,-4.000000,2.263556,79.460260,0.000000
1973-01-29,6.000000,-3.000000,1.697667,61.130942,0.000000
1973-01-30,9.000000,-4.000000,4.578556,69.025563,0.000000
1973-01-31,11.000000,-2.000000,3.343889,73.467683,0.000000
1973-02-01,4.000000,-3.000000,4.835778,72.101054,0.000000
1973-02-02,-1.000000,-4.000000,4.578556,90.943797,NaN
1973-02-03,0.000000,-4.000000,4.012667,91.003428,0.000000
1973-02-04,2.000000,-2.000000,1.183222,98.802710,0.000000
1973-02-05,6.000000,-2.000000,2.572222,90.076448,0.000000
1973-02-06,3.000000,-4.000000,6.019000,59.032659,0.000000
1973-02-07,0.000000,-4.000000,3.138111,43.279775,0.000000
