DATE,TMAX,TMIN,WND,HUM,PRCP,SUNH
2000-01-01,1.600000,-0.700000,1.900000,89.000000,0.000000,0.000000
2000-01-02,5.000000,-5.900000,1.200000,69.000000,0.000000,5.600000
2000-01-03,1.400000,-4.000000,1.500000,70.000000,0.000000,0.000000
2000-01-04,-0.600000,-2.700000,2.100000,78.000000,0.000000,0.000000
2000-01-05,-1.800000,-3.100000,3.400000,94.000000,0.000000,0.000000
2000-01-06,-0.400000,-7.300000,2.100000,76.000000,0.000000,5.600000
2000-01-07,-2.900000,-13.000000,2.100000,53.000000,0.000000,5.000000
2000-01-08,-0.800000,-5.900000,1.300000,76.000000,0.000000,0.000000
2000-01-09,3.300000,-3.000000,0.700000,84.000000,0.000000,0.000000
2000-01-10,0.100000,-2.500000,2.000000,84.000000,0.000000,0.000000
2000-01-11,-0.200000,-3.200000,2.900000,92.000000,6.000000,0.000000
2000-01-12,-2.500000,-12.500000,1.100000,94.000000,2.000000,1.200000
2000-01-13,-2.800000,-7.900000,1.300000,82.000000,0.000000,0.000000
2000-01-14,-1.600000,-15.700000,0.400000,78.000000,0.000000,7.700000
2000-01-15,-2.900000,-7.200000,0.900000,91.000000,2.400000,0.000000
2000-01-16,-0.900000,-5.500000,1.600000,85.000000,0.200000,2.500000
2000-01-17,-0.100000,-13.000000,0.600000,82.000000,0.000000,0.000000
2000-01-18,-0.300000,-6.700000,1.400000,91.000000,0.000000,3.200000
2000-01-19,-0.200000,-14.000000,2.000000,73.000000,0.000000,8.400000
2000-01-20,-2.700000,-15.000000,1.700000,52.000000,0.000000,7.600000
2000-01-21,-4.100000,-12.500000,1.100000,82.000000,0.200000,0.000000
2000-01-22,-2.400000,-5.600000,1.100000,92.000000,0.300000,0.000000
2000-01-23,-3.400000,-5.600000,1.300000,90.000000,0.000000,0.000000
2000-01-24,-4.500000,-9.900000,2.600000,77.000000,0.000000,1.000000
2000-01-25,-4.300000,-13.800000,1.000000,55.000000,0.000000,7.200000
2000-01-26,-1.700000,-15.200000,1.100000,61.000000,0.000000,8.600000
2000-01-27,0.900000,-18.100000,0.800000,61.000000,0.000000,8.200000
2000-01-28,1.400000,-8.700000,2.400000,63.000000,0.000000,7.400000
2000-01-29,0.200000,-10.800000,2.000000,66.000000,0.000000,6.800000
2000-01-30,-1.900000,-10.900000,1.200000,49.000000,0.000000,8.400000
2000-01-31,-4.900000,-11.900000,1.200000,52.000000,0.000000,6.600000
2000-02-01,-2.900000,-13.900000,1.200000,64.000000,0.000000,7.600000
2000-02-02,0.200000,-10.900000,1.200000,75.000000,0.000000,5.700000
2000-02-03,1.900000,-12.900000,0.200000,74.000000,0.000000,7.200000
2000-02-04,2.400000,-8.900000,0.900000,73.000000,0.000000,1.300000
2000-02-05,2.500000,-1.000000,1.900000,91.000000,0.100000,0.000000
2000-02-06,0.200000,-4.100000,0.700000,98.000000,0.000000,0.000000
2000-02-07,3.900000,-2.500000,2.500000,69.000000,0.100000,8.200000
2000-02-08,0.000000,-6.100000,3.100000,47.000000,0.000000,9.400000
2000-02-09,3.900000,-5.800000,2.000000,59.000000,0.000000,8.400000
2000-02-10,7.000000,-2.700000,2.000000,75.000000,0.000000,7.500000
2000-02-11,8.200000,-4.000000,0.600000,79.000000,0.000000,7.800000
2000-02-12,11.500000,-0.500000,1.400000,81.000000,0.000000,7.500000
2000-02-13,4.500000,-1.400000,1.900000,89.000000,0.000000,0.000000
2000-02-14,6.100000,-3.000000,1.300000,72.000000,0.000000,6.300000
2000-02-15,5.000000,-5.500000,1.100000,41.000000,0.000000,9.300000
2000-02-16,7.700000,-5.600000,1.700000,48.000000,0.000000,8.700000
2000-02-17,7.100000,-3.400000,1.400000,68.000000,0.000000,6.100000
2000-02-18,3.200000,-0.500000,2.100000,69.000000,0.000000,0.000000
2000-02-19,4.400000,-1.100000,2.000000,77.000000,0.200000,2.000000
2000-02-20,7.300000,-2.800000,0.600000,47.000000,0.000000,8.100000
2000-02-21,8.400000,-1.100000,2.300000,53.000000,0.000000,3.800000
2000-02-22,9.300000,2.600000,2.600000,63.000000,0.000000,5.400000
2000-02-23,6.900000,-1.800000,2.100000,68.000000,0.000000,0.000000
2000-02-24,7.800000,-1.600000,1.200000,54.000000,0.000000,0.000000
2000-02-25,8.600000,1.800000,3.000000,62.000000,0.100000,5.500000
2000-02-26,12.700000,-2.500000,2.000000,33.000000,0.000000,9.400000
2000-02-27,14.300000,-1.700000,2.000000,42.000000,0.000000,9.300000
2000-02-28,7.300000,-1.800000,3.200000,62.000000,0.000000,9.300000
2000-02-29,12.800000,-2.000000,3.200000,62.000000,0.000000,8.200000
2000-03-01,15.500000,1.800000,4.000000,48.000000,0.000000,8.300000
2000-03-02,16.000000,2.900000,3.300000,39.000000,0.000000,8.400000
2000-03-03,16.800000,5.900000,2.300000,45.000000,0.000000,8.800000
2000-03-04,13.200000,1.400000,3.500000,43.000000,0.000000,7.000000
2000-03-05,16.300000,1.900000,1.900000,41.000000,0.000000,7.900000
2000-03-06,12.000000,1.300000,3.400000,35.000000,0.000000,9.600000
2000-03-07,12.800000,1.100000,2.900000,37.000000,0.000000,8.100000
2000-03-08,14.800000,-6.200000,0.800000,39.000000,0.000000,9.700000
2000-03-09,16.100000,-4.300000,1.200000,31.000000,0.000000,9.800000
2000-03-10,15.200000,6.000000,2.500000,50.000000,0.000000,7.800000
2000-03-11,13.300000,3.500000,2.400000,64.000000,0.000000,8.500000
2000-03-12,13.100000,3.100000,2.500000,72.000000,0.000000,8.900000
2000-03-13,14.500000,4.700000,2.000000,76.000000,0.000000,1.200000
2000-03-14,16.200000,3.900000,1.400000,70.000000,0.000000,0.900000
2000-03-15,16.100000,5.400000,2.200000,51.000000,0.000000,7.500000
2000-03-16,18.300000,-1.200000,1.100000,50.000000,0.000000,9.900000
2000-03-17,20.400000,5.000000,2.000000,41.000000,0.000000,9.400000
2000-03-18,20.400000,8.100000,3.800000,43.000000,0.000000,9.900000
2000-03-19,13.000000,0.100000,2.500000,45.000000,0.000000,10.000000
2000-03-20,13.300000,4.700000,2.700000,38.000000,0.000000,3.300000
2000-03-21,13.800000,3.400000,2.300000,56.000000,0.000000,6.800000
2000-03-22,13.900000,1.500000,1.500000,75.000000,0.100000,4.100000
2000-03-23,15.500000,5.600000,2.100000,38.000000,0.000000,9.800000
2000-03-24,17.200000,0.500000,1.900000,29.000000,0.000000,10.000000
2000-03-25,20.300000,2.300000,1.600000,35.000000,0.000000,9.500000
2000-03-26,24.100000,5.200000,2.400000,26.000000,0.000000,10.500000
2000-03-27,22.700000,13.000000,4.900000,23.000000,0.000000,7.000000
2000-03-28,17.200000,6.200000,4.400000,20.000000,0.000000,10.500000
2000-03-29,19.700000,0.800000,2.200000,40.000000,0.000000,9.800000
2000-03-30,22.600000,9.200000,2.700000,46.000000,0.000000,10.400000
2000-03-31,21.200000,7.100000,0.000000,52.000000,0.000000,8.300000
2000-04-01,14.300000,8.000000,2.200000,67.000000,4.600000,0.000000
2000-04-02,15.700000,2.800000,1.100000,70.000000,1.100000,7.000000
2000-04-03,18.500000,3.300000,3.200000,64.000000,0.000000,8.400000
2000-04-04,18.200000,9.500000,0.000000,54.000000,0.000000,7.400000
2000-04-05,15.500000,0.800000,1.400000,37.000000,0.000000,10.900000
2000-04-06,22.300000,7.200000,4.000000,51.000000,0.000000,10.000000
2000-04-07,20.300000,5.700000,2.300000,29.000000,0.000000,10.700000
2000-04-08,20.100000,9.800000,3.400000,46.000000,0.000000,8.500000
