MONTH,TEMP,TDEW,TMAX,TMIN,WND,PRCP_25,PRCP,WETD,SUNH
1,-1.9345,-10.3598,3.0644,-7.2649,2.3859,0.254,3.048,1.1915,4.535023
2,1.6527,-8.0222,6.9261,-4.2883,2.8517,3.556,9.652,1.8723,4.887374
3,8.3113,-3.2561,13.7983,1.6477,3.3933,1.397,4.064,2.1087,6.884562
4,14.9862,4.3807,20.5152,8.1036,3.4252,11.811,22.86,3.8913,7.609762
5,21.2292,11.4095,26.5787,14.3901,3.041,20.2565,37.973,4.8913,7.961751
6,25.653,16.3802,30.9457,19.3245,2.6418,40.8305,59.69,6.7826,7.392857
7,27.3927,22.0079,31.7485,22.544,2.2961,114.173,141.605,10.5435,5.995622
8,25.8735,21.4938,30.2448,21.2168,2.0637,80.137,123.825,8.6739,6.139171
9,21.5156,15.3671,26.771,15.7894,2.0517,14.0335,41.529,5.413,5.872857
10,15.0063,7.2457,20.6254,8.61,2.3424,10.922,16.51,4.1739,5.80576
11,6.6622,-0.8204,11.967,0.9414,2.4285,2.921,16.129,3.0652,5.59881
12,-0.1702,-7.8728,4.7199,-5.254,2.3962,0.9525,3.556,1.7391,4.388249
