MONTH,TEMP,TDEW,TMAX,TMIN,WND,PRCP_25,PRCP,WETD
1,-1.0226,-8.5879,3.8976,-6.3199,2.2512,0,1.27,1.0851
2,2.8312,-5.5703,7.9413,-2.9646,2.6951,3.302,8.89,1.766
3,9.2972,-0.9681,14.804,2.7046,3.1177,1.3335,4.318,2.5435
4,15.4215,6.746,20.9377,8.4855,2.9365,9.525,23.368,3.5435
5,21.2048,13.3264,26.6047,14.3751,2.6156,23.1775,45.72,4.413
6,26.0777,17.2078,31.5587,19.803,2.4869,43.815,63.881,6.1304
7,27.4098,22.5483,31.7657,22.7431,2.1005,83.6295,112.141,9.7826
8,25.842,21.8773,30.2395,21.3045,1.9927,110.109,147.955,7.8696
9,21.3893,16.077,26.677,15.8777,1.9005,27.305,45.339,5.4348
10,15.4871,8.4974,21.1598,9.373,2.0944,7.874,21.717,4.1304
11,7.3281,0.78,12.6262,1.6833,2.2828,3.4925,13.081,3.2391
12,0.7557,-6.3625,5.7117,-4.3935,2.2357,0.762,3.175,1.6739
